feature,importance
quantity,0.2865205612409926
product_avg_price,0.23767118745529367
price,0.23491568556233716
product_total_sales,0.2233258634519039
product_popularity,0.01644577564996904
category_encoded,0.0011209266395034998
tenure_months,0.0
age,0.0
month,0.0
quarter,0.0
day_of_week,0.0
day_of_month,0.0
is_weekend,0.0
region_encoded,0.0
gender_encoded,0.0
year,0.0
is_holiday_season,0.0
is_month_start,0.0
is_month_end,0.0
is_summer,0.0
customer_avg_quantity,0.0
customer_total_purchases,0.0
customer_avg_spent,0.0
is_spring,0.0
customer_total_spent,0.0
region_avg_sales,0.0
region_total_sales,0.0
price_vs_avg,0.0
discount_indicator,0.0
segment_avg_sales,0.0
customer_rolling_avg_3,0.0
customer_rolling_avg_7,0.0
